Waktu,USD_beli,USD_jual,SGD_beli,SGD_jual,EUR_beli,EUR_jual,AUD_beli,AUD_jual
07-04-2021 15:37:49,14505.0,14535.0,10830.04,10860.22,17221.53,17275.09,11065.93,11106.11
07-04-2021 15:38:20,14505.0,14535.0,10830.04,10860.22,17221.53,17275.09,11065.93,11106.11
07-04-2021 15:38:50,14505.0,14535.0,10830.04,10860.22,17221.53,17275.09,11065.93,11106.11
07-04-2021 15:39:22,14505.0,14535.0,10830.04,10860.22,17221.53,17275.09,11065.93,11106.11
07-04-2021 15:39:53,14505.0,14535.0,10830.04,10860.22,17221.53,17275.09,11065.93,11106.11
07-04-2021 15:40:23,14505.0,14535.0,10830.04,10860.22,17221.53,17275.09,11065.93,11106.11
07-04-2021 15:40:56,14505.0,14535.0,10830.04,10860.22,17221.53,17275.09,11065.93,11106.11
07-04-2021 15:41:26,14505.0,14535.0,10830.04,10860.22,17221.53,17275.09,11065.93,11106.11
07-04-2021 15:41:57,14505.0,14535.0,10830.04,10860.22,17221.53,17275.09,11065.93,11106.11
07-04-2021 15:42:27,14505.0,14535.0,10830.04,10860.22,17221.53,17275.09,11065.93,11106.11
07-04-2021 15:42:57,14505.0,14535.0,10830.04,10860.22,17221.53,17275.09,11065.93,11106.11
07-04-2021 15:43:27,14505.0,14535.0,10830.04,10860.22,17221.53,17275.09,11065.93,11106.11
07-04-2021 15:43:57,14505.0,14535.0,10830.04,10860.22,17221.53,17275.09,11065.93,11106.11
07-04-2021 15:44:27,14505.0,14535.0,10830.04,10860.22,17221.53,17275.09,11065.93,11106.11
07-04-2021 15:44:57,14505.0,14535.0,10830.04,10860.22,17221.53,17275.09,11065.93,11106.11
07-04-2021 15:45:27,14505.0,14535.0,10830.04,10860.22,17221.53,17275.09,11065.93,11106.11
07-04-2021 15:45:57,14505.0,14535.0,10830.04,10860.22,17221.53,17275.09,11065.93,11106.11
07-04-2021 15:46:28,14505.0,14535.0,10830.04,10860.22,17221.53,17275.09,11065.93,11106.11
07-04-2021 15:46:58,14505.0,14535.0,10830.04,10860.22,17221.53,17275.09,11065.93,11106.11
07-04-2021 15:47:28,14505.0,14535.0,10830.04,10860.22,17221.53,17275.09,11065.93,11106.11
07-04-2021 15:47:58,14505.0,14535.0,10830.04,10860.22,17221.53,17275.09,11065.93,11106.11
07-04-2021 15:48:28,14505.0,14535.0,10830.04,10860.22,17221.53,17275.09,11065.93,11106.11
07-04-2021 15:48:58,14505.0,14535.0,10830.04,10860.22,17221.53,17275.09,11065.93,11106.11
07-04-2021 15:49:28,14505.0,14535.0,10830.04,10860.22,17221.53,17275.09,11065.93,11106.11
07-04-2021 15:49:58,14505.0,14535.0,10830.04,10860.22,17221.53,17275.09,11065.93,11106.11
07-04-2021 15:50:28,14505.0,14535.0,10830.04,10860.22,17221.53,17275.09,11065.93,11106.11
07-04-2021 15:50:58,14505.0,14535.0,10830.04,10860.22,17221.53,17275.09,11065.93,11106.11
07-04-2021 15:51:28,14505.0,14535.0,10830.04,10860.22,17221.53,17275.09,11065.93,11106.11
07-04-2021 15:51:59,14505.0,14535.0,10830.04,10860.22,17221.53,17275.09,11065.93,11106.11
07-04-2021 15:52:29,14505.0,14535.0,10830.04,10860.22,17221.53,17275.09,11065.93,11106.11
07-04-2021 15:52:59,14505.0,14535.0,10830.04,10860.22,17221.53,17275.09,11065.93,11106.11
07-04-2021 15:53:29,14505.0,14535.0,10830.04,10860.22,17221.53,17275.09,11065.93,11106.11
07-04-2021 15:53:59,14505.0,14535.0,10830.04,10860.22,17221.53,17275.09,11065.93,11106.11
07-04-2021 15:54:30,14505.0,14535.0,10830.04,10860.22,17221.53,17275.09,11065.93,11106.11
07-04-2021 15:55:00,14505.0,14535.0,10830.04,10860.22,17221.53,17275.09,11065.93,11106.11
07-04-2021 15:55:32,14505.0,14535.0,10830.04,10860.22,17221.53,17275.09,11065.93,11106.11
07-04-2021 15:56:02,14505.0,14535.0,10830.04,10860.22,17221.53,17275.09,11065.93,11106.11
07-04-2021 15:56:32,14505.0,14535.0,10830.04,10860.22,17221.53,17275.09,11065.93,11106.11
07-04-2021 15:57:02,14505.0,14535.0,10830.04,10860.22,17221.53,17275.09,11065.93,11106.11
07-04-2021 15:57:32,14505.0,14535.0,10830.04,10860.22,17221.53,17275.09,11065.93,11106.11
07-04-2021 15:58:03,14505.0,14535.0,10830.04,10860.22,17221.53,17275.09,11065.93,11106.11
07-04-2021 15:58:33,14505.0,14535.0,10830.04,10860.22,17221.53,17275.09,11065.93,11106.11
07-04-2021 15:59:03,14505.0,14535.0,10830.04,10860.22,17221.53,17275.09,11065.93,11106.11
07-04-2021 15:59:33,14505.0,14535.0,10830.04,10860.22,17221.53,17275.09,11065.93,11106.11
07-04-2021 16:00:04,14505.0,14535.0,10830.04,10860.22,17221.53,17275.09,11065.93,11106.11
07-04-2021 16:00:34,14505.0,14535.0,10830.04,10860.22,17221.53,17275.09,11065.93,11106.11
07-04-2021 16:01:04,14505.0,14535.0,10830.04,10860.22,17221.53,17275.09,11065.93,11106.11
07-04-2021 16:01:35,14505.0,14535.0,10830.04,10860.22,17221.53,17275.09,11065.93,11106.11
07-04-2021 16:02:05,14505.0,14535.0,10830.04,10860.22,17221.53,17275.09,11065.93,11106.11
07-04-2021 16:02:35,14505.0,14535.0,10830.04,10860.22,17221.53,17275.09,11065.93,11106.11
07-04-2021 16:03:05,14505.0,14535.0,10830.04,10860.22,17221.53,17275.09,11065.93,11106.11
07-04-2021 16:03:35,14505.0,14535.0,10830.04,10860.22,17221.53,17275.09,11065.93,11106.11
07-04-2021 16:04:05,14505.0,14535.0,10830.04,10860.22,17221.53,17275.09,11065.93,11106.11
07-04-2021 16:04:35,14505.0,14535.0,10830.04,10860.22,17221.53,17275.09,11065.93,11106.11
07-04-2021 16:05:05,14505.0,14535.0,10830.04,10860.22,17221.53,17275.09,11065.93,11106.11
07-04-2021 16:05:35,14505.0,14535.0,10830.04,10860.22,17221.53,17275.09,11065.93,11106.11
07-04-2021 16:06:05,14505.0,14535.0,10830.04,10860.22,17221.53,17275.09,11065.93,11106.11
07-04-2021 16:06:36,14505.0,14535.0,10830.04,10860.22,17221.53,17275.09,11065.93,11106.11
07-04-2021 16:07:06,14505.0,14535.0,10830.04,10860.22,17221.53,17275.09,11065.93,11106.11
07-04-2021 16:07:36,14505.0,14535.0,10830.04,10860.22,17221.53,17275.09,11065.93,11106.11
07-04-2021 16:08:06,14505.0,14535.0,10830.04,10860.22,17221.53,17275.09,11065.93,11106.11
07-04-2021 16:08:36,14505.0,14535.0,10830.04,10860.22,17221.53,17275.09,11065.93,11106.11
07-04-2021 16:09:06,14505.0,14535.0,10830.04,10860.22,17221.53,17275.09,11065.93,11106.11
